Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,409.56358216,1.4198091529999999,407.561918417,1.22435964,99.51126910931792,86.2340996614212,1,285
12,415.637564602,1.4392846160000001,413.162795502,1.244466092,99.40458483285317,86.46421132872025,2,285
19,417.957238622,1.446104083,415.496910168,1.2548046149999998,99.41134445664545,86.77139009225796,3,285
26,419.094502879,1.449095305,416.634892546,1.260786264,99.41311319616375,87.00506168571155,4,285
33,419.577329498,1.450225528,417.106972029,1.264312711,99.4112271337549,87.18042032701,5,285
40,419.765417931,1.450523698,417.36479234899997,1.266553229,99.4281030596011,87.31696219416058,6,285
47,419.830753674,1.450276195,417.451009279,1.268449471,99.43316577592887,87.46261404366497,7,285
54,419.762643121,1.449750122,417.381078288,1.269354445,99.4326401188794,87.55677449082498,8,285
61,419.603953955,1.449079021,417.200009038,1.269534551,99.42709192934397,87.60975299496798,9,285
68,419.45628222199997,1.448338419,417.083676839,1.270490453,99.43436170023931,87.720551794601,10,285
75,419.16267828900004,1.447126285,416.81973181,1.2705093,99.44104124714447,87.79533017742125,11,285
82,418.83220029399996,1.445732451,416.529114019,1.2707799069999999,99.4501171893223,87.898691498625,12,285
89,418.448291137,1.444394523,416.07088772000003,1.269533443,99.43185252100322,87.8938145212006,13,285
96,418.076765948,1.443142627,415.682839983,1.268742675,99.42739559813334,87.9152657029789,14,285
103,417.638971882,1.441510949,415.259943832,1.2682162929999998,99.43036253554608,87.97826293860498,15,285
110,417.179131289,1.439664142,414.82426549700006,1.26767842,99.43552646444134,88.05376080555321,16,285
117,416.635279814,1.437836052,414.252778037,1.2660567820000002,99.42815649743736,88.05293066889939,17,285
124,416.10255344,1.435884125,413.71535232,1.264787234,99.42629500822224,88.08421320209247,18,285
131,415.473375422,1.433642353,413.128728762,1.2634159489999999,99.4356686135138,88.12629916772553,19,285
